Habitat	Phyla	BiG.SCAPE_class	protein_number
Cold	Cyanobacteria (255)	PKSI	6
Cold	Desulfobacterota (211)	PKSI	15
Cold	Proteobacteria (3242)	NRPS	304
Cold	Actinobacteriota (1562)	NRPS	186
Cold	Bacteroidota (1472)	NRPS	133
Cold	Planctomycetota (953)	NRPS	156
Cold	Acidobacteriota (915)	NRPS	238
Cold	Verrucomicrobiota (835)	NRPS	96
Cold	Myxococcota (578)	NRPS	87
Cold	Chloroflexota (348)	NRPS	57
Cold	Cyanobacteria (255)	NRPS	63
Cold	Desulfobacterota (211)	NRPS	19
